,Title,Rating,Genre
0,Death Note,8.63,"Genres: Mystery, Police, Psychological, Supernatural, Thriller, Shounen"
1,"Shingeki no Kyojin
Attack on Titan",8.45,"Genres: Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen"
2,Sword Art Online,7.28,"Genres: Action, Game, Adventure, Romance, Fantasy"
3,Fullmetal Alchemist: Brotherhood,9.22,"Genres: Action, Military, Adventure, Comedy, Drama, Magic, Fantasy, Shounen"
4,One Punch Man,8.60,"Genres: Action, Sci-Fi, Comedy, Parody, Super Power, Supernatural"
5,Tokyo Ghoul,7.82,"Genres: Action, Mystery, Horror, Psychological, Supernatural, Drama, Seinen"
6,"Boku no Hero Academia
My Hero Academia",8.15,"Genres: Action, Comedy, School, Shounen, Super Power"
7,Naruto,7.90,"Genres: Action, Adventure, Comedy, Super Power, Martial Arts, Shounen"
8,Steins;Gate,9.12,"Genres: Thriller, Sci-Fi"
9,"No Game No Life
No Game, No Life",8.23,"Genres: Game, Adventure, Comedy, Supernatural, Ecchi, Fantasy"
10,"Kimi no Na wa.
Your Name.",8.99,"Genres: Romance, Supernatural, School, Drama"
11,Angel Beats!,8.17,"Genres: Action, Comedy, Drama, School, Supernatural"
12,"Hunter x Hunter (2011)
Hunter x Hunter",9.11,"Genres: Action, Adventure, Fantasy, Shounen, Super Power"
13,"Code Geass: Hangyaku no Lelouch
Code Geass: Lelouch of the Rebellion",8.72,"Genres: Action, Military, Sci-Fi, Super Power, Drama, Mecha, School"
14,"Boku no Hero Academia 2nd Season
My Hero Academia 2",8.38,"Genres: Action, Comedy, Super Power, School, Shounen"
15,"Mirai Nikki
The Future Diary",7.58,"Genres: Action, Mystery, Psychological, Shounen, Supernatural, Thriller"
16,Toradora!,8.27,"Genres: Slice of Life, Comedy, Romance, School"
17,"Noragami
Noragami: Stray God",8.02,"Genres: Action, Adventure, Comedy, Supernatural, Shounen"
18,"Naruto: Shippuuden
Naruto: Shippuden",8.15,"Genres: Action, Adventure, Comedy, Super Power, Martial Arts, Shounen"
19,"Shingeki no Kyojin Season 2
Attack on Titan Season 2",8.41,"Genres: Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen"
20,"Re:Zero kara Hajimeru Isekai Seikatsu
Re:ZERO -Starting Life in Another World-",8.30,"Genres: Psychological, Drama, Thriller, Fantasy"
21,Sword Art Online II,6.83,"Genres: Action, Game, Adventure, Romance, Fantasy"
22,"Ao no Exorcist
Blue Exorcist",7.61,"Genres: Action, Demons, Fantasy, Shounen, Supernatural"
23,"Shigatsu wa Kimi no Uso
Your Lie in April",8.77,"Genres: Drama, Music, Romance, School, Shounen"
24,Akame ga Kill!,7.56,"Genres: Action, Adventure, Drama, Fantasy, Shounen"
